grid_id,LDAC_suitability_elec,LDAC_suitability_gas
852c9043fffffff,4.6,0
852c9047fffffff,4.6,0
852c904bfffffff,4.2,0
852c904ffffffff,4.6,0
852c9053fffffff,4.6,0
852c9057fffffff,4.4,0
852c905bfffffff,4.6,0
852c906bfffffff,0,0
852c906ffffffff,3.2,0
852c907bfffffff,4.2,0
852c90cbfffffff,4.6,0
852c90cffffffff,4,0
852c90dbfffffff,4.2,0
852c9203fffffff,4.6,0
852c9207fffffff,4.2,0
852c920bfffffff,5,0
852c920ffffffff,0,0
852c9213fffffff,4.6,0
852c9217fffffff,4.2,0
852c921bfffffff,5,0
852c9223fffffff,0,0
852c9227fffffff,4.2,0
852c922bfffffff,4.2,0
852c922ffffffff,4.2,0
852c9233fffffff,0,0
852c9237fffffff,0,0
852c923bfffffff,0,0
852c9243fffffff,0,0
852c9247fffffff,0,0
852c924bfffffff,0,0
852c924ffffffff,0,0
852c9253fffffff,5,0
852c9257fffffff,5,0
852c925bfffffff,0,0
852c9263fffffff,0,0
852c9267fffffff,4.6,0
852c926bfffffff,0,0
852c926ffffffff,0,0
852c9273fffffff,0,0
852c9277fffffff,0,0
852c927bfffffff,0,0
852c9283fffffff,4.2,0
852c9287fffffff,4.2,0
852c928bfffffff,4.6,0
852c928ffffffff,4.2,0
852c9293fffffff,4.6,0
852c9297fffffff,4.2,0
852c929bfffffff,4.6,0
852c92a3fffffff,3.8,0
852c92a7fffffff,0,0
852c92abfffffff,3.8,0
852c92affffffff,0,0
852c92b3fffffff,4.2,0
852c92b7fffffff,4.2,0
852c92bbfffffff,4.2,0
852c92c3fffffff,5,0
852c92c7fffffff,5,0
852c92cbfffffff,4.6,0
852c92cffffffff,5,0
852c92d3fffffff,5,0
852c92d7fffffff,5,0
852c92dbfffffff,5,0
852c934bfffffff,4.4,0
852c9353fffffff,4,0
852c935bfffffff,4,0
852c93c3fffffff,0,0
852c93cbfffffff,0,0
852c93cffffffff,3.6,0
852c93d3fffffff,0,0
852c93d7fffffff,3.2,0
852c93dbfffffff,0,0
852c9443fffffff,0,0
852c944bfffffff,0,0
852c944ffffffff,0,0
852c9453fffffff,0,0
852c945bfffffff,0,0
852c9603fffffff,4.6,0
852c9607fffffff,4.6,0
852c960bfffffff,5,0
852c960ffffffff,5,0
852c9613fffffff,4.6,0
852c9617fffffff,4.6,0
852c961bfffffff,4.6,0
852c9623fffffff,4.2,0
852c9627fffffff,4.2,0
852c962bfffffff,4.6,0
852c962ffffffff,4.2,0
852c9633fffffff,4.6,0
852c9637fffffff,4.2,0
852c963bfffffff,4.6,0
852c9643fffffff,5,0
852c9647fffffff,5,0
852c964bfffffff,4.6,0
852c964ffffffff,5,0
852c9653fffffff,5,0
852c9657fffffff,5,0
852c965bfffffff,4.6,0
852c9663fffffff,5,0
852c9667fffffff,4.6,0
852c966bfffffff,5,0
852c966ffffffff,5,0
852c9673fffffff,5,0
852c9677fffffff,5,0
852c967bfffffff,5,0
852c9683fffffff,3.8,0
852c9687fffffff,3.8,0
852c968bfffffff,4.2,0
852c968ffffffff,4.2,0
852c9693fffffff,3.8,0
852c9697fffffff,3.8,0
852c969bfffffff,3.8,0
852c96a3fffffff,4.2,0
852c96a7fffffff,3.8,0
852c96abfffffff,4.2,0
852c96affffffff,4.2,0
852c96b3fffffff,3.8,0
852c96b7fffffff,3.2,0
852c96bbfffffff,4.2,0
852c96c3fffffff,4.2,0
852c96c7fffffff,4.2,0
852c96cbfffffff,4.6,0
852c96cffffffff,4.6,0
852c96d3fffffff,4.2,0
852c96d7fffffff,4.2,0
852c96dbfffffff,4.2,0
852cb243fffffff,3.8,0
852cb24bfffffff,0,0
852cb24ffffffff,0,0
852cb253fffffff,3.8,0
852cb257fffffff,3.2,0
852cb25bfffffff,3.8,0
852cb2c3fffffff,4.6,0
852cb2c7fffffff,3.6,0
852cb2cbfffffff,4.2,0
852cb2cffffffff,4.2,0
852cb2d3fffffff,4.6,0
852cb2d7fffffff,4,0
852cb2dbfffffff,4.6,0
852cb443fffffff,0,0
852cb44bfffffff,0,0
852cb453fffffff,0,0
852cb45bfffffff,0,0
852cb4c3fffffff,0,0
852cb4cbfffffff,0,0
852cb4d3fffffff,0,0
852cb4dbfffffff,0,0
852cb603fffffff,3.8,0
852cb607fffffff,3.8,0
852cb60bfffffff,4.2,0
852cb60ffffffff,4.2,0
852cb613fffffff,3.8,0
852cb617fffffff,0,0
852cb61bfffffff,3.8,0
852cb63bfffffff,3.6,0
852cb643fffffff,0,0
852cb647fffffff,4.6,0
852cb64bfffffff,0,0
852cb64ffffffff,0,0
852cb653fffffff,0,0
852cb657fffffff,4.2,0
852cb65bfffffff,0,0
852cb663fffffff,4.6,0
852cb667fffffff,4,0
852cb66bfffffff,5,0
852cb66ffffffff,4.6,0
852cb673fffffff,4.6,0
852cb677fffffff,4.2,0
852cb67bfffffff,4.6,0
852cb683fffffff,0,0
852cb687fffffff,0,0
852cb68bfffffff,0,0
852cb68ffffffff,0,0
852cb693fffffff,0,0
852cb697fffffff,0,0
852cb69bfffffff,0,0
852cb6abfffffff,0,0
852cb6b3fffffff,0,0
852cb6bbfffffff,0,0
852cb6c3fffffff,0,0
852cb6c7fffffff,0,0
852cb6cbfffffff,0,0
852cb6cffffffff,3.8,0
852cb6d3fffffff,0,0
852cb6d7fffffff,0,0
852cb6dbfffffff,0,0
852d9003fffffff,0,0
852d9007fffffff,0,0
852d900bfffffff,0,0
852d900ffffffff,0,0
852d9013fffffff,0,0
852d9017fffffff,0,0
852d901bfffffff,0,0
852d9023fffffff,0,0
852d9027fffffff,0,0
852d902bfffffff,0,0
852d902ffffffff,0,0
852d9033fffffff,0,0
852d9037fffffff,0,0
852d903bfffffff,0,0
852d9043fffffff,0,0
852d9047fffffff,0,0
852d904bfffffff,0,0
852d904ffffffff,0,0
852d9057fffffff,0,0
852d905bfffffff,0,0
852d9063fffffff,0,0
852d9067fffffff,0,0
852d906bfffffff,0,0
852d906ffffffff,0,0
852d9073fffffff,0,0
852d9077fffffff,0,0
852d907bfffffff,0,0
852d9083fffffff,0,0
852d9087fffffff,0,0
852d908bfffffff,0,0
852d908ffffffff,0,0
852d9093fffffff,0,0
852d9097fffffff,0,0
852d909bfffffff,2.2,0
852d90a3fffffff,0,0
852d90a7fffffff,0,0
852d90abfffffff,0,0
852d90affffffff,0,0
852d90b3fffffff,0,0
852d90b7fffffff,0,0
852d90bbfffffff,0,0
852d90c7fffffff,0,0
852d9103fffffff,2.6,0
852d9107fffffff,2.6,0
852d910bfffffff,0,0
852d910ffffffff,2.6,0
852d9113fffffff,0,0
852d9117fffffff,2.2,0
852d911bfffffff,0,0
852d9123fffffff,1.8,0
852d9127fffffff,1.4,0
852d912bfffffff,1.8,0
852d912ffffffff,1.4,0
852d9133fffffff,2.2,0
852d9137fffffff,1.8,0
852d913bfffffff,2.2,0
852d9143fffffff,0,0
852d9147fffffff,0,0
852d914bfffffff,0,0
852d914ffffffff,0,0
852d9153fffffff,0,0
852d9157fffffff,0,0
852d915bfffffff,0,0
852d9163fffffff,1.8,0
852d9167fffffff,1.8,0
852d916bfffffff,1.8,0
852d916ffffffff,1.8,0
852d9173fffffff,2.2,0
852d9177fffffff,2.2,0
852d917bfffffff,2.2,0
852d918bfffffff,0,0
852d91c3fffffff,0,0
852d91c7fffffff,0,0
852d91cbfffffff,0,0
852d91cffffffff,0,0
852d91d3fffffff,0,0
852d91d7fffffff,0,0
852d91dbfffffff,0,0
852d9203fffffff,0,0
852d9207fffffff,0,0
852d920bfffffff,0,0
852d920ffffffff,0,0
852d9213fffffff,0,0
852d9217fffffff,0,0
852d921bfffffff,0,0
852d9223fffffff,0,0
852d9227fffffff,0,0
852d922bfffffff,0,0
852d922ffffffff,0,0
852d9233fffffff,0,0
852d9237fffffff,0,0
852d923bfffffff,0,0
852d9243fffffff,0,0
852d9247fffffff,0,0
852d924bfffffff,0,0
852d924ffffffff,0,0
852d9253fffffff,0,0
852d9257fffffff,0,0
852d925bfffffff,0,0
852d9263fffffff,0,0
852d9267fffffff,0,0
852d926bfffffff,0,0
852d926ffffffff,0,0
852d9273fffffff,0,0
852d9277fffffff,0,0
852d927bfffffff,0,0
852d9283fffffff,0,0
852d9287fffffff,0,0
852d928bfffffff,0,0
